Actresss,Year,Title [ a ],Role(s),Notes,Ref(s),,,
Rishi Kapoor,2006,Love Ke Chakkar Mein,Armaan Kochar,,[ 45 ],,,
Rishi Kapoor,2007,Namastey London,Manmohan,,[ 46 ],,,
Rishi Kapoor,2007,Don't Stop Dreaming,Groovy,English film,[ 47 ] [ 48 ],,,
Rishi Kapoor,2007,Om Shanti Om,Himself,Guest appearance,[ 49 ],,,
Rishi Kapoor,2007,Sambar Salsa,Om Suri,English film,[ 50 ],,,
Rishi Kapoor,2008,Thoda Pyaar Thoda Magic,God,Cameo appearance,[ 51 ],,,
Rishi Kapoor,2008,Halla Bol,Himself,Guest appearance,[ 52 ],,,
Rishi Kapoor,2009,Luck by Chance,Romi Rolly,,[ 53 ],,,
Rishi Kapoor,2009,Delhi-6,Ali Beg,,[ 54 ],,,
Rishi Kapoor,2009,Kal Kissne Dekha,Siddharth Verma,,[ 55 ],,,
Rishi Kapoor,2009,Love Aaj Kal,Veer Singh Panesar,,[ 56 ],,,
Rishi Kapoor,2009,Chintu Ji,Chintuji,,[ 57 ],,,
Rishi Kapoor,2010,Sadiyaan,Rajveer Singh,,[ 58 ],,,
Rishi Kapoor,2010,Do Dooni Chaar,Santosh Duggal,,[ 59 ],,,
Rishi Kapoor,2011,Patiala House,Gurtej Singh Kahlon,,[ 60 ],,,
Rishi Kapoor,2011,Tell Me O Kkhuda,Altaf Zardari,,[ 61 ],,,
Rishi Kapoor,2012,Agneepath,Rauf Lala,,[ 62 ],,,
Rishi Kapoor,2012,Housefull 2,Chintu Kapoor,,[ 63 ],,,
Rishi Kapoor,2012,Student of the Year,Yoginder Vashisht,,[ 64 ],,,
Rishi Kapoor,2012,Jab Tak Hai Jaan,Imraan Sharqazi,Special appearance,[ 65 ],,,
Rishi Kapoor,2013,Chashme Buddoor,Joseph Furtado,,[ 66 ],,,
Rishi Kapoor,2013,Aurangzeb,DCP Ravikant Phogat,,[ 67 ],,,
Rishi Kapoor,2013,D-Day,Iqbal Seth,,[ 68 ],,,
Rishi Kapoor,2013,Shuddh Desi Romance,Goyal,,[ 69 ],,,
Rishi Kapoor,2013,Besharam,Chulbul Chautala,,[ 70 ],,,
Rishi Kapoor,2014,Bewakoofiyaan,V. K. Sehgal,,[ 71 ],,,
Rishi Kapoor,2014,Kaanchi: The Unbreakable,Jumar B. Kakda,,[ 72 ],,,
Rishi Kapoor,2015,All Is Well,Bhajanlal Bhalla,,[ 73 ],,,
Rishi Kapoor,2015,Wedding Pullav,Luv Kapoor,Cameo appearance,[ 74 ],,,
Rishi Kapoor,2016,Chalk N Duster,Host Of The Quiz Contest,Cameo appearance,,,,
Rishi Kapoor,2016,Sanam Re,Daddu,,[ 75 ],,,
Rishi Kapoor,2016,Kapoor & Sons,Amarjeet Kapoor,,[ 76 ],,,
Rishi Kapoor,2017,Patel Ki Punjabi Shaadi,Guggi Tandon,,[ 77 ],,,
Rishi Kapoor,2018,102 Not Out,Babulal Vakharia,,[ 78 ],,,
Rishi Kapoor,2018,Manto,Producer,,,,,
Rishi Kapoor,2018,Mulk,Murad Ali Mohammed,,[ 79 ],,,
Rishi Kapoor,2018,Rajma Chawal,Raj Mathur,,[ 80 ],,,
Rishi Kapoor,2019,Jhootha Kahin Ka,Yograj Singh,,[ 81 ],,,
Rishi Kapoor,2019,The Body,SP Jairaj Rawal,,[ 82 ],,,
Rishi Kapoor,2022,Sharmaji Namkeen,"Brij Gopal Sharma ""Sharmaji""",Posthumous release,[ 83 ],,,
Saira Banu,1961,Junglee,Rajkumari,,,,,
Saira Banu,1962,Shaadi,Gauri,,,,,
Saira Banu,1963,Bluffmaster,Seema,,,,,
Saira Banu,1964,Ayee Milan Ki Bela,Barkha,,,,,
Saira Banu,1964,April Fool,Rita Christiana,,,,,
Saira Banu,1964,Aao Pyaar Karen,Shalini,,,,,
Saira Banu,1964,Door Ki Awaz,Bela / Jyoti,,,,,
Saira Banu,1966,Saaz Aur Awaaz,Geeta,,,,,
Saira Banu,1966,Yeh Zindagi Kitni Haseen Hai,Princess Sarita / Sarita,Double Role,,,,
Saira Banu,1966,Pyar Mohabbat,Rita Singh,,,,,
Saira Banu,1967,Shagird,Poonam,,,,,
Saira Banu,1967,Aman,Meloda,,,,,
Saira Banu,1968,Padosan,Bindu,,,,,
Saira Banu,1968,Jhuk Gaya Aasmaan,Priya Khanna,,,,,
Saira Banu,1968,Diwana,Kamini Gupta,,,,,
Saira Banu,1969,Aadmi Aur Insaan,Meena Khanna,,,,,
Saira Banu,1970,Gopi,Seema,,,,,
Saira Banu,1970,Purab Aur Paschim,Preeti,,,,,
Saira Banu,1970,Sagina Mahato,Lalita,Bengali Film,,,,
Saira Banu,1971,Balidaan,Sheela,,,,,
Saira Banu,1972,Victoria No. 203,Rekha,,,,,
Saira Banu,1973,Jwar Bhata,Gayatri,,,,,
Saira Banu,1973,Daaman Aur Aag,Rita,,,,,
Saira Banu,1974,Resham Ki Dori,Anupama,,,,,
Saira Banu,1974,International Crook,Seema,,,,,
Saira Banu,1974,Sagina,Lalita,,,,,
Saira Banu,1974,Pocketmaar,Asha Rai,,,,,
Saira Banu,1974,Aarop,Aruna,,,,,
Saira Banu,1974,Paise Ki Gudiya,Madhavi,,,,,
Saira Banu,1975,Saazish,Sunita,,,,,
Saira Banu,1975,Zameer,Sunita,,,,,
Saira Banu,1975,Chaitali,Chaitali,,,,,
Saira Banu,1975,Aakhri Daao,Reena,,,,,
Saira Banu,1975,Mounto,Meena,,,,,
Saira Banu,1976,Aarambh,Parvati,,,,,
Saira Banu,1976,Bairaag,Tara,,,,,
Saira Banu,1976,Hera Pheri,Kiran Singh,,,,,
Saira Banu,1976,Koi Jeeta Koi Haara,Tulsi,,,,,
Saira Banu,1976,Nehle Peh Dehlaa,Beena,,,,,
Saira Banu,1977,Mera Vachan Geeta Ki Qasam,Champa,,,,,
Saira Banu,1978,Kaala Aadmi,Sheetal,,,,,
Saira Banu,1980,Desh Drohi,Prerna,,,,,
Saira Banu,1980,Lahu Pukarega,Sarla,,,,,
Saira Banu,1984,Duniya,Sumitra Kumar,Guest Appearance,,,,
Saira Banu,1988,Faisla,Radha,,,,,
Dilip Kumar,1944,Jwar Bhata,Jagish,Amiya Chakravarty,Debut film,,,
Dilip Kumar,1945,Pratima,Karan Jairaj,Paidi Jairaj,,,,
Dilip Kumar,1946,Milan,Ramesh,Nitin Bose,,,,
Dilip Kumar,1947,Jugnu,Suraj,Shaukat Hussain Rizvi,,,,
Dilip Kumar,1948,Ghar Ki Izzat,Ramchandra,Ram Daryani,,,,
Dilip Kumar,1948,Shaheed,Ram,Ramesh Saigal,,,,
Dilip Kumar,1948,Mela,Mohan,S. U. Sunny,,,,
Dilip Kumar,1948,Anokha Pyar,Karan,M. I. Dharamsey,,,,
Dilip Kumar,1948,Nadiya Ke Par,Vasusena Singh,Kishore Sahu,,,,
Dilip Kumar,1949,Andaz,Dilip,Mehboob Khan,,,,
Dilip Kumar,1949,Shabnam,Manoj,B. Mitra,,,,
Dilip Kumar,1950,Jogan,Vijay,Kidar Nath Sharma,,,,
Dilip Kumar,1950,Arzoo,Digvijay Singh,Shaheed Latif,,,,
Dilip Kumar,1950,Babul,Ramchandra,S.U. Sunny,,,,
Dilip Kumar,1951,Hulchul,Radheya,S. K. Ojha,,,,
Dilip Kumar,1951,Deedar,Shyamu,Nitin Bose,,,,
Dilip Kumar,1951,Tarana,Dr. Motilal,Ram Daryani,,,,
Dilip Kumar,1952,Daag,Shankar,Amiya Chakravarty,Filmfare Award for Best Actor,[ 1 ] [ 3 ] [ 5 ],,
Dilip Kumar,1952,Aan,Jai Tilak,Mehboob Khan,,,,
Dilip Kumar,1952,Sangdil,Dharmaraja,R. C. Talwar,,,,
Dilip Kumar,1953,Shikast,Dr. Ram Singh,Ramesh Saigal,,,,
Dilip Kumar,1953,Footpath,Vasusena,Zia Sarhadi,,,,
Dilip Kumar,1954,Amar,Advocate Amar,Mehboob Khan,,,,
Dilip Kumar,1955,Devdas,Devdas,Bimal Roy,Filmfare Award for Best Actor,[ 1 ] [ 5 ],,
Dilip Kumar,1955,Uran Khatola,Ramchandra,S. U. Sunny,,,,
Dilip Kumar,1955,Azaad,Kumar / Azaad / Abdul Rahim Khan,S. M. Sriramulu Naidu,Filmfare Award for Best Actor,[ 1 ] [ 3 ] [ 5 ],,
Dilip Kumar,1955,Insaniyat,Mangal,S. S. Vasan,,,,
Dilip Kumar,1957,Musafir,Raja,Hrishikesh Mukherjee,,[ 3 ],,
Dilip Kumar,1957,Naya Daur,Shankar,B. R. Chopra,Filmfare Award for Best Actor,[ 1 ] [ 5 ],,
Dilip Kumar,1958,Yahudi,Prince Marcus,Bimal Roy,,,,
Dilip Kumar,1958,Madhumati,Anand / Deven (Dual Role),Bimal Roy,Nominated—Filmfare Award for Best Actor,[ 1 ] [ 3 ],,
Dilip Kumar,1959,Paigham,Ratan Lal,S. S. Vasan,Nominated—Filmfare Award for Best Actor,,,
Dilip Kumar,1960,Kohinoor,Yuvraj Rana Devendra Pratap Bahadur / Kohinoor,S. U. Sunny,Filmfare Award for Best Actor,[ 2 ] [ 5 ],,
Dilip Kumar,1960,Mughal-E-Azam,Prince Salim,K. Asif,Nominated—Filmfare Award for Best Actor,[ 1 ],,
Dilip Kumar,1961,Gunga Jumna,"Gungaram ""Gunga""",Nitin Bose,Nominated—Filmfare Award for Best Actor,[ 1 ],,
Dilip Kumar,1964,Leader,Vijay Khanna,Ram Mukherjee,Filmfare Award for Best Actor,[ 5 ],,
Dilip Kumar,1966,Dil Diya Dard Liya,Shankar / Raja Sahib,Abdur Rashid Kardar,Nominated—Filmfare Award for Best Actor,[ 4 ],,
Dilip Kumar,1967,Ram Aur Shyam,Ram / Shyam (Double Role),Tapi Chanakya,Filmfare Award for Best Actor,[ 5 ] [ 4 ],,
Dilip Kumar,1968,Aadmi,Rajesh / Raja Sahib,A. Bhimsingh,Nominated—Filmfare Award for Best Actor,,,
Dilip Kumar,1968,Sunghursh,Kundan Prasad / Bajrangi,Harnam Singh Rawail,Nominated—Filmfare Award for Best Actor,[ 3 ],,
Dilip Kumar,1970,Gopi,"Gopiram ""Gopi""",A. Bhimsingh,Nominated—Filmfare Award for Best Actor,,,
Dilip Kumar,1970,Sagina Mahato,Sagina Mahato,Tapan Sinha,Bengali film,,,
Dilip Kumar,1972,Dastaan,Diwan Anil Kumar / Sunil Kumar / Judge Vishnu Sahay (Double Role),B. R. Chopra,,,,
Dilip Kumar,1972,Koshish,Himself,Gulzar,Guest appearance,,,
Dilip Kumar,1974,Sagina,Sagina Maheto,Tapan Sinha,Nominated—Filmfare Award for Best Actor,[ 8 ],,
Dilip Kumar,1974,Phir Kab Milogi,Teja Singh,Hrishikesh Mukherjee,Guest appearance,,,
Dilip Kumar,1976,Bairaag,"Kailash / Bholanath ""Bhola"" / Sanjay (Triple Role)",Asit Sen,Nominated—Filmfare Award for Best Actor,[ 2 ],,
Dilip Kumar,1981,Kranti,Sanga,Manoj Kumar,,,,
Dilip Kumar,1982,Shakti,DCP Ashwini Kumar,Ramesh Sippy,Filmfare Award for Best Actor,[ 1 ] [ 5 ],,
Dilip Kumar,1982,Vidhaata,Shamsher Singh / Shobhraj,Subhash Ghai,,,,
Dilip Kumar,1983,Mazdoor,Dinanath Saxena,Ravi Chopra,,[ 9 ],,
Dilip Kumar,1983,Film Hi Film,Ram,Hiren Nag,,,,
Dilip Kumar,1984,Mashaal,Vinod Kumar,Yash Chopra,Nominated—Filmfare Award for Best Actor,[ 1 ] [ 6 ],,
Dilip Kumar,1984,Duniya,Mohan Kumar,Ramesh Talwar,,[ 6 ],,
Dilip Kumar,1986,Dharm Adhikari,Dharamraj,K. Raghavendra Rao,,[ 6 ],,
Dilip Kumar,1986,Karma,Jailor Vishwanath Pratap Singh / Rana / Dada Thakur,Subhash Ghai,,[ 1 ] [ 6 ],,
Dilip Kumar,1989,Kanoon Apna Apna,Collector Jagatpratap Singh,B. Gopal,,[ 10 ] [ 6 ],,
Dilip Kumar,1990,Izzatdaar,Brahma Dutt,K. Bapaiah,,[ 11 ] [ 6 ],,
Dilip Kumar,1991,Saudagar,Thakur Veer Singh,Subhash Ghai,Nominated—Filmfare Award for Best Actor,[ 1 ] [ 6 ],,
Dilip Kumar,1998,Qila,Judge Amarnath Singh / Jagannath Singh (Dual Role),Umesh Mehra,Last film,[ 2 ] [ 6 ],,
Dilip Kumar,1954,Shikwa,,Ramesh Saigal,Co-star: Nutan,,,
Dilip Kumar,1990,Aag Ka Dariya,,S V Rajendra Singh,Co-star: Rekha,,,
Dilip Kumar,1996,Kalinga,,Dilip Kumar,Co-star: Roopa Ganguly,,,
Anushka Sharma,2008,Rab Ne Bana Di Jodi,,[183],,,,
Anushka Sharma,2010,Badmaash Company,,[184],,,,
Anushka Sharma,,Band Baaja Baaraat,,[185],,,,
Anushka Sharma,2011,Patiala House,,[31],,,,
Anushka Sharma,,Ladies vs Ricky Bahl,,[186],,,,
Anushka Sharma,2012,Jab Tak Hai Jaan,,[187],,,,
Anushka Sharma,2013,Matru Ki Bijlee Ka Mandola,,[188],,,,
Anushka Sharma,2014,PK,,[189],,,,
Anushka Sharma,2015,NH10,Also producer,[190],,,,
Anushka Sharma,,Bombay Velvet,,[191],,,,
Anushka Sharma,,Dil Dhadakne Do,,[192],,,,
Anushka Sharma,2016,Sultan,,[193],,,,
Anushka Sharma,,Ae Dil Hai Mushkil,,[194],,,,
Anushka Sharma,2017,Phillauri,"Also producer and playback singer for song ""Naughty Billo""",[82][195],,,,
Anushka Sharma,,Jab Harry Met Sejal,,[196],,,,
Anushka Sharma,2018,Pari,Also producer,[197],,,,
Anushka Sharma,,Sanju,,[198],,,,
Anushka Sharma,,Sui Dhaaga,,[199],,,,
Anushka Sharma,,Zero,,[200],,,,
,,,,[201],,,,
