Actresss,Year,Title [ a ],Role(s),Notes,Ref(s),,,
Aishwarya Rai Bachchan,2000,Mohabbatein,Megha Shankar,Hindi,,[ 43 ],,
Aishwarya Rai Bachchan,2000,Mela,Champakali,Hindi,Cameo,[ 44 ],,
Aishwarya Rai Bachchan,2001,Albela,Sonia Heinz,Hindi,,[ 45 ],,
Aishwarya Rai Bachchan,2002,Devdas,Paro,Hindi,,[ 46 ],,
Aishwarya Rai Bachchan,2002,Hum Kisise Kum Nahin,Komal Rastogi,Hindi,,[ 47 ],,
Aishwarya Rai Bachchan,2002,Hum Tumhare Hain Sanam,Suman,Hindi,Cameo,[ 48 ],,
Aishwarya Rai Bachchan,2002,23rd March 1931: Shaheed,Mannawali,Hindi,Special appearance,[ 49 ],,
Aishwarya Rai Bachchan,2002,Shakti: The Power,Herself,Hindi,"Special appearance in ""Ishq Kamina""",[ 50 ],,
Aishwarya Rai Bachchan,2003,Chokher Bali,Binodini,Bengali,,[ 51 ],,
Aishwarya Rai Bachchan,2003,Dil Ka Rishta,Tia Sharma,Hindi,,[ 52 ],,
Aishwarya Rai Bachchan,2003,Kuch Naa Kaho,Namrata Shrivastav,Hindi,,[ 53 ],,
Aishwarya Rai Bachchan,2004,Khakee,Mahalakshmi,Hindi,,[ 54 ],,
Aishwarya Rai Bachchan,2004,Kyun! Ho Gaya Na...,Diya Malhotra,Hindi,,[ 55 ],,
Aishwarya Rai Bachchan,2004,Raincoat,Neerja,Hindi,,[ 56 ],,
Aishwarya Rai Bachchan,2004,Bride and Prejudice,Lalita Bakshi,English,,[ 57 ],,
Aishwarya Rai Bachchan,2005,The Mistress of Spices,Tilo,English,,[ 58 ],,
Aishwarya Rai Bachchan,2005,Shabd,Antara Vashist/ Tammana [II],Hindi,,[ 59 ],,
Aishwarya Rai Bachchan,2005,Bunty Aur Babli,Dancer,Hindi,"Special appearance in "" Kajra Re """,[ 60 ],,
Aishwarya Rai Bachchan,2006,Umrao Jaan,Umrao Jaan,Hindi,,[ 61 ],,
Aishwarya Rai Bachchan,2006,Dhoom 2,Sunehri Kaur,Hindi,,[ 62 ],,
Aishwarya Rai Bachchan,2007,Guru,Sujata Desai,Hindi,,[ 63 ],,
Aishwarya Rai Bachchan,2007,Provoked,Kiranjit Ahluwalia,English,,[ 64 ],,
Aishwarya Rai Bachchan,2007,The Last Legion,Mira,English,,[ 21 ],,
Aishwarya Rai Bachchan,2008,Jodhaa Akbar,Jodhaa Bai,Hindi,,[ 65 ],,
Aishwarya Rai Bachchan,2008,Sarkar Raj,Anita Rajan,Hindi,,[ 66 ],,
Aishwarya Rai Bachchan,2009,The Pink Panther 2,Sonia Solandres,English,,[ 67 ],,
Aishwarya Rai Bachchan,2010,Raavan,Ragini Sharma,Hindi,,[ 68 ],,
Aishwarya Rai Bachchan,2010,Raavanan,Ragini Subramaniam,Tamil,,[ 69 ],,
Aishwarya Rai Bachchan,2010,Enthiran,Sana,Tamil,,[ 70 ],,
Aishwarya Rai Bachchan,2010,Action Replayy,Mala Malhotra Chopra,Hindi,,[ 71 ],,
Aishwarya Rai Bachchan,2010,Guzaarish,Sofia D'Souza,Hindi,,[ 72 ],,
Aishwarya Rai Bachchan,2011,Bollywood: The Greatest Love Story Ever Told,Herself,English/ Hindi,Documentary,[ 73 ],,
Aishwarya Rai Bachchan,2015,Jazbaa,Anuradha Verma,Hindi,,[ 28 ],,
Aishwarya Rai Bachchan,2016,Sarbjit,Dalbir Kaur,Hindi,,[ 74 ],,
Aishwarya Rai Bachchan,2016,Ae Dil Hai Mushkil,Saba Taliyar Khan,Hindi,[ 75 ],,,
Aishwarya Rai Bachchan,2018,Fanney Khan,"Sumitra ""Baby"" Singh",Hindi,,[ 76 ],,
Aishwarya Rai Bachchan,2022,Ponniyin Selvan: I,Nandini & Oomai Rani [I],Tamil,,[ 77 ],,
Aishwarya Rai Bachchan,2023,Ponniyin Selvan: II,Nandini & Oomai Rani [I],Tamil,,[ 78 ],,
Karisma Kapoor,1991,Prem Qaidi,Neelima,,[ 17 ],,,
Karisma Kapoor,1992,Police Officer,Bijali,,[ 18 ],,,
Karisma Kapoor,1992,Jaagruti,Shalu,,[ 19 ],,,
Karisma Kapoor,1992,Nishchaiy,Payal,,[ 20 ] [ 21 ],,,
Karisma Kapoor,1992,Sapne Sajan Ke,Jyoti,,[ 22 ],,,
Karisma Kapoor,1992,Deedar,Sapna Saxena,,[ 23 ],,,
Karisma Kapoor,1992,Jigar,Suman,,[ 24 ],,,
Karisma Kapoor,1993,Anari,Rajnandini,,[ 25 ],,,
Karisma Kapoor,1993,Muqabla,Karishma,,[ 26 ],,,
Karisma Kapoor,1993,Sangraam,Madhu,,[ 27 ],,,
Karisma Kapoor,1993,Shaktiman,Priya,,[ 28 ],,,
Karisma Kapoor,1993,Dhanwaan,Anjali Chopra,,[ 29 ],,,
Karisma Kapoor,1994,Prem Shakti,Gouri/Karisma [ a ],,[ 30 ],,,
Karisma Kapoor,1994,Raja Babu,Madhoo,,[ 31 ],,,
Karisma Kapoor,1994,Dulaara,Priya,,[ 32 ],,,
Karisma Kapoor,1994,Khuddar,Pooja,,[ 33 ],,,
Karisma Kapoor,1994,Andaz,Jaya,,[ 34 ] [ 35 ],,,
Karisma Kapoor,1994,Andaz Apna Apna,Karishma/Raveena [ b ],,[ 36 ],,,
Karisma Kapoor,1994,Yeh Dillagi,Anjali,Cameo appearance,[ 37 ],,,
Karisma Kapoor,1994,Aatish,Pooja,,[ 38 ],,,
Karisma Kapoor,1994,Suhaag,Pooja,,[ 39 ],,,
Karisma Kapoor,1994,Gopi Kishan,Barkha,,[ 40 ],,,
Karisma Kapoor,1995,Jawab,Suman,,[ 41 ],,,
Karisma Kapoor,1995,Maidan-E-Jung,Tulsi,,[ 42 ],,,
Karisma Kapoor,1995,Coolie No.1,Malti,,[ 43 ],,,
Karisma Kapoor,1996,Papi Gudia,Karisma,,[ 44 ] [ 45 ],,,
Karisma Kapoor,1996,Megha,Megha,,[ 46 ],,,
Karisma Kapoor,1996,Saajan Chale Sasural,Pooja,,[ 47 ],,,
Karisma Kapoor,1996,Krishna,Rashmi,,[ 48 ],,,
Karisma Kapoor,1996,Jeet,Kajal Sharma,,[ 49 ],,,
Karisma Kapoor,1996,Bal Bramhachari,Asha,,[ 50 ],,,
Karisma Kapoor,1996,Sapoot,Pooja,,[ 51 ],,,
Karisma Kapoor,1996,Raja Hindustani,Aarti Sehgal,,[ 52 ],,,
Karisma Kapoor,1996,Rakshak,Suman Sinha,,[ 53 ],,,
Karisma Kapoor,1996,Ajay,Manorama,,[ 54 ],,,
Karisma Kapoor,1997,Judwaa,Mala Sharma,,[ 55 ],,,
Karisma Kapoor,1997,Hero No. 1,Meena Nath Malhotra,,[ 56 ],,,
Karisma Kapoor,1997,Lahu Ke Do Rang,Heena,,[ 57 ],,,
Karisma Kapoor,1997,Mrityudaata,Reenu,,[ 58 ],,,
Karisma Kapoor,1997,Dil To Pagal Hai,Nisha,,[ 59 ] [ 60 ],,,
Karisma Kapoor,1999,Silsila Hai Pyar Ka,Vanshikha Mathur,,[ 61 ],,,
Karisma Kapoor,1999,Biwi No.1,Pooja Makhija,,[ 62 ],,,
Karisma Kapoor,1999,Haseena Maan Jaayegi,Ritu Verma,,[ 63 ],,,
Karisma Kapoor,1999,Hum Saath-Saath Hain,Sapna Bajpai,,[ 64 ],,,
Karisma Kapoor,1999,Jaanwar,Sapna,,[ 65 ],,,
