Year,Title,Role,Notes,Ref.,Romantic interest,Year of birth of romantic interest,Age of RI,AK year of birth,AK age at movie
1999,International Khiladi,Devraj Anand,,[73],Twinkle Khanna,1974,25,1967,32
1999,Zulmi,Raj Malhotra,,[74],Twinkle Khanna,1974,25,1967,32
1999,Jaanwar,Baadshah / Babu Lohaar,,[75],Karisma Kapoor,1974,25,1967,32
2000,Hera Pheri,Raju / Rajesh Rathod,,[76] [77],Tabu,1971,29,1967,33
2000,Dhadkan,Ram Verma,,[78],Shilpa Shetty,1975,25,1967,33
2000,Khiladi 420,Dev Kumar Malhotra / Anand Kumar Malhotra [a],,[79],Mahima Chaudhry,1973,27,1967,33
2001,Ajnabee,Vikram Bajaj,,[80],Kareena Kapoor,1980,21,1967,34
2001,Ek Rishtaa: The Bond of Love,Ajay Kapoor,,[81],Karisma Kapoor,1974,27,1967,34
2002,Aadhar,Jagdish's friend,Cameo appearance; Marathi film,[82],,,,1967,35
2002,Haan Maine Bhi Pyaar Kiya,Raj Malhotra,,[83],Karisma Kapoor,1974,28,1967,35
2002,Aankhen,Vishwas Raj Prajapati,,[84],Sushmita Sen,1975,27,1967,35
2002,Awara Paagal Deewana,Guru Gulab Khatri,50th Film,[85],Preeti Jhangiani,1980,22,1967,35
2002,Jaani Dushman,Atul Agarwal,,[86],Manisha Koirala,1970,32,1967,35
2003,Talaash,Arjun Raichand,,[87],Kareena Kapoor,1980,23,1967,36
2003,Andaaz,Raj Malhotra,,[88],Lara Dutta,1978,25,1967,36
2004,Khakee,Senior Inspector Shekhar Verma,,[89] [90],Aishwarya Rai,1973,31,1967,37
2004,Police Force,Vijay Singh,,[91],Raveena Tandon,1974,30,1967,37
2004,Aan: Men at Work,DCP Hari Om Pattnaik,,[92],Lara Dutta,1978,26,1967,37
2004,Mujhse Shaadi Karogi,"Arun ""Sunny"" Khanna",,[93] [94],Priyanka Chopra,1982,22,1967,37
2004,Hatya,Ravi Lal,,[95],Varsha Usgaonkar,1968,36,1967,37
2004,Aitraaz,Raj Malhotra,,[96],Kareena Kapoor,1980,24,1967,37
2004,Meri Biwi Ka Jawaab Nahin,Ajay Khanna,,[97],Sridevi,1963,41,1967,37
2004,Ab Tumhare Hawale Watan Saathiyo,Rajeev Singh,,[98],Esha Deol,1981,23,1967,37
2005,Insan,Amjad Khan,,[99],Esha Deol,1981,24,1967,38
2005,Bewafaa,Raja Bhosle,,[100],Kareena Kapoor,1980,25,1967,38
2005,Waqt,Aditya Thakur,,[101],Priyanka Chopra,1982,23,1967,38
2005,Garam Masala,"Makrand ""Mac"" Godbole",,[102],Rimi Sen,1981,24,1967,38
2005,Deewane Huye Paagal,"Ranbir ""Rocky"" Hiranadani",,[103],Rimi Sen,1981,24,1967,38
2005,Dosti: Friends Forever,Raj Malhotra,,[104],Kareena Kapoor,1980,25,1967,38
2006,Family,Simple Cook Shekhar Bhatia,,[105],Bhumika Chawla,1978,28,1967,39
2006,Mere Jeevan Saathi,Vicky Bahl,,[106],Karisma Kapoor,1974,32,1967,39
2006,Humko Deewana Kar Gaye,Aditya Malhotra,,[107],Katrina Kaif,1983,23,1967,39
2006,Phir Hera Pheri,Raju / Rajesh Rathod,,[108],Lara Dutta,1978,28,1967,39
2006,Jaan-E-Mann,Agastya Rao,,[109],Preity Zinta,1975,31,1967,39
2006,Bhagam Bhag,Bunty Rajkumar,,[110],Lara Dutta,1978,28,1967,39
2007,Namastey London,Arjun Singh,,[111],Katrina Kaif,1983,24,1967,40
2007,Heyy Babyy,Aarush Mehra,75th Film,[112],Vidya Balan,1979,28,1967,40
2007,Bhool Bhulaiyaa,Aditya Shrivastava,,[113],Vidya Balan,1979,28,1967,40
2007,Om Shanti Om,Himself,Special appearance,[114],,,,1967,40
2007,Welcome,Rajiv Saini,,[115],Katrina Kaif,1983,24,1967,40
2008,Tashan,Bachchan Pandey,,[116],Kareena Kapoor,1980,28,1967,41
2008,Singh Is Kinng,Happy Singh,,[117] [118],Katrina Kaif,1983,25,1967,41
2008,Jumbo,"Jaybir ""Jumbo"" Singh",Also narrator,[119],,,,1967,41
2009,Chandni Chowk to China,Sidhu / Sidhesh Sharma,,[120],Deepika Padukone,1986,23,1967,42
2009,8 x 10 Tasveer,Jai Puri / Jeet Puri [a],,[121],Ayesha Takia,1986,23,1967,42
2009,Kambakkht Ishq,Viraj Shergill,,[122],Kareena Kapoor,1980,29,1967,42
2009,Blue,Aarav Malhotra,,[123],Lara Dutta,1978,31,1967,42
2009,De Dana Dan,Nitin Bankar,,[124],Katrina Kaif,1983,26,1967,42
2010,Housefull,Aarush Awasthi,,[125],Deepika Padukone,1986,24,1967,43
2010,Khatta Meetha,Sachin Tichkule,,[126],Trisha Krishnan,1983,27,1967,43
2010,Action Replayy,Kishen Kumar Chopra,,[127],Aishwarya Rai,1973,37,1967,43
2010,Tees Maar Khan,Tabrez Mirza Khan / Tees Maar Khan,,[128],Katrina Kaif,1983,27,1967,43
2011,Patiala House,"Parghat Singh ""Gattu"" Kahlon",,[129],Anushka Sharma,1988,23,1967,44
2011,Thank You,Kishen Khurana,,[130],Sonam Kapoor,1985,26,1967,44
2011,Breakaway,Himself,Special appearance,[131],,,,1967,44
2011,Desi Boyz,"Jignesh ""Jerry"" Patel / Rocco",,[132],Deepika Padukone,1986,25,1967,44
2011,Chalo Dilli,Lieutenant Colonel Vikram Singh Rana,Cameo appearance,[133],,,,1967,44
2012,Housefull 2,Sunny Pujari / Sunil,,[134],Asin Thottumkal,1985,27,1967,45
2012,Rowdy Rathore,Shiva / Shivam Bharadwaj ASP Vikram Singh Rathore [a],,[135] [136],Sonakshi Sinha,1987,25,1967,45
2012,Joker,Rajkumar Joker Sattu / Agastya Sattu,,[137] [138],Sonakshi Sinha,1987,25,1967,45
